,question,answer,label
213,tổ hợp môn xét tuyển ngành kĩ thuật phần mềm năm 2017-2018 là gì?,"a, a1, c1",admiss_formal
214,tổ hợp môn xét tuyển ngành kĩ thuật hóa học năm 2017-2018 là gì?,"a, b, c2",admiss_formal
215,tổ hợp môn xét tuyển ngành  công nghệ sinh học năm 2017-2018 là gì?,"a, b",admiss_formal
216,tổ hợp môn xét tuyển ngành kiến trúc năm 2017-2018 là gì?,"v, v1",admiss_formal
217,tổ hợp môn xét tuyển ngành qui hoạch vùng đô thị năm 2017-2018 là gì?,"a, a1, v, v1",admiss_formal
218,tổ hợp môn xét tuyển ngành kĩ thuật công trình năm 2017-2018 là gì?,"a, a1, c1",admiss_formal
219,tổ hợp môn xét tuyển ngành kĩ thuật xây dựng công trình giao thông năm 2017-2018 là gì?,"a, a1, c1",admiss_formal
220,tổ hợp môn xét tuyển ngành kĩ thuật điện-điện tử năm 2017-2018 là gì?,"a, a1, c1",admiss_formal
221,tổ hợp môn xét tuyển ngành kĩ thuật điện tử truyền thông năm 2017-2018 là gì?,"a, a1, c1",admiss_formal
222,tổ hợp môn xét tuyển ngành kĩ thuật điều khiển và tự động hóa năm 2017-2018 là gì?,"a, a1, c1",admiss_formal
223,tuyển sinh clc có những hình thức nào?,"xét tuyển thắng, xét học bạ, xét điểm tốt nghiệp thpt",admiss_formal
224,tuyển sinh liên kết có những hình thức nào?,"xét tuyển thắng, xét học bạ, xét điểm tốt nghiệp thpt",admiss_formal
225,nếu xét đợt một không đậu có xét đợt hai hay không?,"không, chỉ được xét vào hệ clc.",admiss_formal
226,tổ hợp môn xét tuyển vào cntt?,"khối a, b, a1.",admiss_formal
227,tuyển sinh khoa công nghệ thông tin năm 2018-2019 lấy bao nhiêu sinh viên?,300,admiss_formal
228,tuyển sinh khoa  luật năm 2018-2019 lấy bao nhiêu sinh viên?,120,admiss_formal
229,tuyển sinh khoa kĩ thuật công trình năm 2018-2019 lấy bao nhiêu sinh viên?,110,admiss_formal
230,tuyển sinh khoa điện năm 2018-2019 lấy bao nhiêu sinh viên?,120,admiss_formal
231,tuyển sinh khoa khoa học ứng dụng năm 2018-2019 lấy bao nhiêu sinh viên?,300,admiss_formal
232,tuyển sinh khoa mĩ thuật công nghiệp năm 2018-2019 lấy bao nhiêu sinh viên?,200,admiss_formal
233,tuyển sinh khoa toán thống kê năm 2018-2019 lấy bao nhiêu sinh viên?,150,admiss_formal
234,tuyển sinh khoa kế toán năm 2018-2019 lấy bao nhiêu sinh viên?,350,admiss_formal
235,tuyển sinh khoa dược năm 2018-2019 lấy bao nhiêu sinh viên?,200,admiss_formal
236,tuyển sinh khoa ngôn ngữ anh năm 2018-2019 lấy bao nhiêu sinh viên?,320,admiss_formal
237,đối tượng xét tuyển dựa vào kết quả học tập trung học phổ thông gồm những ai?,"thí sinh học tập tại các trường thpt đã ký kết hợp tác với tdtu, đã hoàn thành chương trình lớp 12 bậc thpt năm 2019 (chưa có kết quả học kỳ cuối của lớp 12), đủ điều kiện xét tuyển theo quy định của trường",admiss_formal
238,phạm vi xét tuyển dựa vào kết quả học tập trung học phổ thông?,xét tuyển vào tất cả các ngành bậc đại học của tất cả các chương trình,admiss_formal
239,điều kiện xét tuyển dựa vào kết quả học tập trung học phổ thông?,"xét tuyển theo kết quả học tập 5 học kỳ (hk1, hk2 lớp 10; hk1, hk2 lớp 11; hk1 lớp 12) đảm bảo các điều kiện sau: thí sinh có điểm trung bình 05 học kỳ của từng môn trong tổ hợp xét tuyển ≥ 6,00; đồng thời đạt ngưỡng bảo đảm chất lượng đầu vào (điểm xét tuyển 05 học kỳ và điều kiện môn học) theo từng ngành được quy định ở phụ lục 1. thí sinh xét tuyển vào các ngành năng khiếu (thiết kế công nghiệp, thiết kế đồ họa, thiết kế thời trang, thiết kế nội thất, kiến trúc) phải tham gia thi môn vẽ hình họa mỹ thuật do tdtu tổ chức. tdtu không nhận điểm thi năng khiếu của các trường khác",admiss_formal
240,đối tượng xét tuyển dựa vào kết quả thi trung học phổ thông quốc gia gồm những ai?,thí sinh đã tốt nghiệp thpt (hoặc tương đương theo quy định của bộ gd&đt) và có kết quả điểm trong kỳ thi thpt quốc gia (thptqg) năm 2019,admiss_formal
241,thời gian công bố kết quả trúng tuyển năm 2019?,kết quả trúng tuyển sẽ được tdtu thông báo trước 17h00 ngày 09/8/2019 trên website: http://admission.tdtu.edu.vn,admiss_formal
242,thời gian thí sinh trúng tuyển nộp giấy chứng nhận kết quả thi trung học phổ thông năm 2019?,thời gian nộp bản gốc giấy chứng nhận kết quả thi thptqg: từ ngày 10/8/2019 đến trước 17h00 ngày 15/8/2019 (tính theo dấu bưu điện nếu nộp qua bưu điện),admiss_formal
243,thời gian nhận thứ mời nhập học và làm thủ tục nhập học năm 2019?,"căn cứ vào kết quả trúng tuyển công bố trên website http://admission.tdtu.edu.vn, thí sinh đến tdtu nhận thư mời nhập học trực tiếp và làm thủ tục nhập học từ 12/8 – 18/8/2019. (nhằm tạo điều kiện thuận lợi cho thí sinh, thí sinh có thể làm thủ tục nhập học ngay khi xác nhận nhập học từ ngày 10/8/2019)",admiss_formal
244,"xét tuyển năm 2019 có qui định về điểm ưu tiên đối tượng, khu vực không?",có,admiss_formal
245,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với khu vực 1?,0.75,admiss_formal
246,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với khu vực 2nt?,0.5,admiss_formal
247,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với khu vực 2?,0.25,admiss_formal
248,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với khu vực 3?,0,admiss_formal
249,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với đối tượng 1?,2,admiss_formal
250,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với đối tượng 2?,2,admiss_formal
251,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với đối tượng 3?,2,admiss_formal
252,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với đối tượng 4?,2,admiss_formal
253,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với đối tượng 5?,1,admiss_formal
254,điểm cộng theo quy định của bộ gd&đt (thang 30 điểm) năm 2019 với đối tượng 6?,1,admiss_formal
255,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với khu vực 1?,1,admiss_formal
256,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với khu vực 2nt?,0.67,admiss_formal
257,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với khu vực 2?,0.33,admiss_formal
258,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với khu vực 3?,0,admiss_formal
259,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với đối tượng 1?,2.67,admiss_formal
260,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với đối tượng 2?,2.67,admiss_formal
261,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với đối tượng 3?,2.67,admiss_formal
262,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với đối tượng 4?,2.67,admiss_formal
263,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với đối tượng 5?,1.33,admiss_formal
264,điểm cộng theo quy định của đại học tôn đức thắng (thang 40 điểm) năm 2019 với đối tượng 6?,1.33,admiss_formal
265,đối tượng thi tuyển năng khiếu gồm những ai?,"thí sinh tốt nghiệp trung học phổ thông (thpt) đăng ký xét tuyển vào đại học chính quy của trường đại học tôn đức thắng (tdtu) các ngành: kiến trúc, quy hoạch vùng và đô thị, thiết kế công nghiệp, thiết kế đồ họa, thiết kế thời trang, thiết kế nội thất, quản lý thể dục thể thao, golf theo các phương thức xét tuyển của tdtu năm 2019, bao gồm: phương thức xét tuyển theo kết quả quá trình học tập thpt (phương thức 1), phương thức xét tuyển theo kết quả thi thpt quốc gia 2019 (phương thức 2), phương thức xét tuyển thẳng (phương thức 3)",admiss_formal
266,có bao nhiêu hình thức thi vào trường tôn đức thắng ?,có thể nộp hồ sơ xét tuyển hoặc thi đại học,admiss_formal
267,trường tôn đức thắng có nhận hồ sơ xét tuyển không ?,có,admiss_formal
268,đối tượng nào được ưu tiên điểm xét tuyển và các quy định được áp dụng ?,các đối tượng theo quy chế tuyển sinh của bộ gd&đt.;thí sinh các trường chuyên trên cả nước và một số trường trọng điểm tại tphcm.(danh  sách trường mà thí sinh được xét ưu tiên tuyển thẳng công bố tại website admission.tdtu.edu.vn).;thí sinh có chứng chỉielts 5.0 trở lên (hoặc chứng chỉ tiếng anh quốc tế tương đương); thí sinh đã học thpt ở các nước mà tiếng anh là ngôn ngữ chính; thí sinh học các chương trình thpt nước ngoài ở các trường thpt quốc tế tại việt nam... được xét tuyển thẳng vào các chương trình đại học dạy -học bằng tiếng anh(dựa vào kết quả học tập bậc thpt),admiss_formal
269,xét tuyển thẳng áp dụng cho những đối tượng nào ?,dành cho thí sinh thuộc các trường thpt chuyên trên cả nước; một số trường trọng điểm tại tphcm; các trường có yếu tố quốc tế.,admiss_formal
270,có những điều gì cần lưu ý cho hồ sơ xét tuyển bậc đại học ?,"phiếu đăng ký xét tuyển thẳng; bản photocopy học bạ 3 năm học thpt; hai phong bì đã dán tem và ghi rõ họ tên, địa chỉ liên lạc, số điện thoại của thí sinh; hai ảnh chân dung cỡ 4 x 6;  bản photocopy hộ khẩu thường trú (đối với diện xét tuyển thẳng tại điểm i; bản photocopy có chứng thực giấy xác nhận thí sinh là người khuyết tật đặc biệt nặng do cơ quan có thẩm quyền cấp theo quy định (đối với diện xét tuyển thẳng tại điểm g);",admiss_formal
271,đối tương tuyển sinh xét tuyển đợt 2 dựa vào kết quả quá trình học tập thpt ?,đối với học sinh các trường thpt chưa ký kết hợp tác với tdtu,admiss_formal
272,đối tương tuyển sinh xét tuyển đợt 2 dựa vào kết quả quá trình học tập thpt chưa ký kết hợp tác với tdtu?,thí sinh đã hoàn tất chương trình lớp 12 bậc thpt năm 2019 của các trường thpt chưa ký kết hợp tác với tdtu  xét tuyển theo kết quả học tập 06 học kỳ vào tất cả các ngành,admiss_formal
273,đối tượng tuyển sinh xét tuyển đợt 3 vào chương trình chất lượng cao dạy - học bằng tiếng anh là gì ?,"thí sinh đã hoàn tất chương trình lớp 12 bậc thpt năm 2019 trên cả nước, đủ điều kiện đăng ký xét tuyển theo quy định của trường vào chương trình chất lượng cao dạy - học bằng tiếng anh",admiss_formal
274,phạm vi tuyển sinh xét tuyển đợt 3 vào chương trình chất lượng cao dạy - học bằng tiếng anh là gì ?,09 ngành giáo dục bậc đại học của chương trình chất lượng cao dạy - học bằng tiếng anh,admiss_formal
275,điều kiện tuyển sinh xét tuyển đợt 3 vào chương trình chất lượng cao dạy - học bằng tiếng anh là gì ?,đối với thí sinh thuộc trường thpt đã ký kết với tdtu áp dụng theo điều kiện xét tuyển của đợt 1 (xét theo điểm 05hk);,admiss_formal
276,đối tượng tuyển sinh xét tuyển theo phương thức 2 xét tuyển dựa vào kết quả thi thpt quốc gia 2019 là gì ?,hệ chất lượng cao cần bao nhiêu điểm tích lũy tín chỉ để ra trường?,admiss_formal
277,hệ chất lượng cao cần bao nhiêu điểm tích lũy tín chỉ để ra trường?,hệ chất lượng cao cần 148 tín chỉ. còn hệ đại trà là 136 tín chỉ,admiss_formal
278,thời điểm tuyển sinh học bạ 2019?,"1/4-25/5, 3/6-5/7, 8/7-9/8",admiss_time
279,thời điểm tuyển sinh xét điểm tốt nghiệp?,"1/4-20/4 thí sinh tự do, trước 22/7 công bố mức điểm nhận, 22/7-29/7 điều chỉnh nguyện vọng trực tiếp, 22/7-31/7 điều chỉnh nguyện vọng bằng phiếu giấy",admiss_time
280,thời điểm tuyển sinh của khoa cntt là lúc nào?,16/7/2019,admiss_time
281,thời gian công bố điểm xét tuyển?,1/8/2019,admiss_time
282,thời điểm tuyển sinh trường đại học tôn đức thắng năm 2019?,từ ngày 16/7,admiss_time
283,thời điểm tuyển sinh trường đại học tôn đức thắng năm 2019?,từ ngày 16/7,admiss_time
284,có thể xét tuyển vào trường bằng kết quả học bạ thpt không và vào thời gian nào ?,đợt 1 (1/4-25/5/2019); đợt 2 (3/6-5/7/2019); đợt 3 (8/7-9/8/2019),admiss_time
285,đến lúc nào thì có thể biết được kết quả xét tuyển học bạ năm 2019?,[unknown],admiss_time
286,đến lúc nào thì có thể biết được kết quả xét tuyển theo kết quả thi thpt quốc gia ?,[unknown],admiss_time
287,mốc thời gian xét học bạ đợt 1 ?,từ 01/4/2019 đến hết ngày 25/5/2019 : thời gian đăng ký xét tuyển trực tuyến tại http://xettuyen.tdtu.edu.vn,admiss_time
288,trường nhận hồ sơ vào thời gian nào ? có nhận hồ sơ vào chủ nhật không ?,đh tôn đức thắng nhận hồ sơ trực tiếp từ thứ 2 đến thứ 7 . từ 7:30 - 17:00,admiss_time
289,tdt tuyển sinh thời gian nào?,tháng 8,admiss_time
290,thời gian xét tuyển dựa vào kết quả quá trình học tập thpt đợt 1 ?,đợt 1 : 01/4/2019-25/2019,admiss_time
291,thời gian xét tuyển dựa vào kết quả quá trình học tập thpt đợt 2 ?,đợt 2 : 03/6/2019-05/7/2019,admiss_time
292,thời gian xét tuyển dựa vào kết quả quá trình học tập thpt đợt 3 ?,đợt 3 : 08/7/2019-09/8/2019,admiss_time
293,các đợt xét tuyển dựa vào kết quả quá trình học tập thpt ?,đợt 1 : 01/4/2019-25/2019 ; đợt 2 : 03/6/2019-05/7/2019 ; đợt 3 : 08/7/2019-09/8/2019,admiss_time
294,thời gian công bố kết quả xét tuyển theo phương thức 2 là khi nào ?,trước 17h00 ngày 09/8/2019,admiss_time
295,thời gian đăng ký xét tuyển theo phương thức 3 là khi nào ?,"thí sinh đăng ký xét tuyển thẳng, ưu tiên xét tuyển làm hồ sơ gửi về sở gd&đt trước ngày 20/05/2019",admiss_time
296,tdt tuyển sinh thời gian nào?,tháng 8,admiss_time
297,thời gian xét tuyển học bạ đợt 1 ?,1/4 25/5/2019,admiss_time
298,thời gian xét tuyển học bạ đợt 2 ?,3/6 5/7/2019,admiss_time
299,thời gian xét tuyển học bạ đợt 3 ?,8/7 9/8/2019,admiss_time
300,thời gian xét tuyển đợt 1 khi nào?,tháng 5 2019 đến tháng 7 2019,admiss_time
301,thời gian xét tuyển đợt 2 khi nào?,tháng 8 2019 đến giữa tháng 9 2019,admiss_time
302,thời gian xét tuyển đợt 3 khi nào?,sau đợt 2 cho đến cuối tháng 10,admiss_time
303,đăng ký xét tuyển du học campus vào thời gian nào?,"tháng 4/2019 đến cuối tháng 5/2019 là sinh viên đã nhập học, 06/2019 thí sinh toàn quốc, đợt bổ sung cho thí sinh toàn quốc 8/2019 đến cuối tháng 8/2019",admiss_time
304,tdt tuyển sinh vào thời gian nào?,có 3 đợt nhưng không biết đợt 1. đợt 2. đợt 3,admiss_time
305,em muốn theo học ngành dược của trường thì học phí là bao nhiêu ạ?,khoảng 19 triệu/ năm,admiss_school_fee
306,em muốn theo học ngành kinh doanh quốc tế chất lượng cao thì học phí là bao nhiêu ạ?,học phí dao động từ 44 – 45 triệu / năm,admiss_school_fee
307,ngành luật học phí bao nhiêu ạ?,trung bình 20000000 đồng/ năm,admiss_school_fee
308,"em dự định xét tuyển vào trường bằng phương thức xét tuyển theo kết quả quá trình học tập bậc thpt thì học phí của em có đắt hơn không,có bị xếp lớp học riêng, không được học chung với các bạn xét tuyển theo hình thức thi thpt quốc gia không?","sinh viên trúng tuyển theo phương thức xét học bạ, xét điểm thi, xét tuyển thẳng nếu cùng ngành và cùng chương trình thì sẽ học chung lớp không khác gì về chương trình học, học phí, cũng như bằng cấp. vì vậy, nếu thí sinh đã trúng tuyển vào đúng ngành chương trình mình yêu thích thì nhanh chóng làm thủ tục nhập học để không bỏ lỡ cơ hội.",admiss_school_fee
309,học phí của trường đại học tôn đức thắng?,học phí trung bình là 17tr. tăng mỗi năm 20%,admiss_school_fee
310,học phí mỗi năm như thế nào?,tăng 20%,admiss_school_fee
311,học sinh liên kết đóng bao nhiêu học phí?,30.000.000đ,admiss_school_fee
312,học phí trung bình 1 hk ở tdt?,10 triệu,admiss_school_fee
313,học phí clc là bao nhiêu?,20 triệu,admiss_school_fee
314,học phí cntt bao nhiêu 1 năm?,20 triệu,admiss_school_fee
315,học phí kế toán bao nhiêu 1 năm?,20 triệu,admiss_school_fee
316,học phí ngành luật bao nhiêu 1 năm?,20 triệu- có thể hoãn đóng học phí được không?,admiss_school_fee
317,nếu không đóng học phí thì sao?,thì gap học kì đó,admiss_school_fee
318,"tổng học phí 4 năm đào tạo ngành kế toán tại đại học west of england, bristol-vương quốc anh là bao nhiêu ?",521.750.000 – 537.100.000,admiss_school_fee
319,tổng học phí 4 năm đào tạo ngành tài chính tại đại học fengchia-đài loan là bao nhiêu ?,260.000.000,admiss_school_fee
320,tổng học phí 4 năm đào tạo ngành tài chính tại đại học khoa học và công nghệ lunghwa-đài loan là bao nhiêu ?,191.190.000,admiss_school_fee
321,tổng học phí 4 năm đào tạo ngành tài chính và kiểm soát tại đại học khoa học ứng dụng saxion-hà lan là bao nhiêu ?,318.600.000,admiss_school_fee
322,tổng học phí 4 năm đào tạo ngành quản trị nhà hàng khách sạn đại học taylor’s-malaysia là bao nhiêu ?,455.761.750,admiss_school_fee
323,tổng học phí 4 năm đào tạo ngành quản trị kinh doanh đại học kinh tế praha-cộng hòa séc là bao nhiêu ?,294.400.000,admiss_school_fee
324,tổng học phí 4 năm đào tạo ngành quản trị kinh doanh quốc tế đại học khoa học và công nghệ lunghwa-đài loan là bao nhiêu ?,191.190.000,admiss_school_fee
325,học phí học kỳ dự thính được tính thế nào?,phí 1 tín chỉ/ học kỳ,admiss_school_fee
326,học phí trung bình của trường đại học tôn đức thắng vào khoản bao nhiêu ?,"đối với khoá đại trà vào khoản 20 triệu một học kì, khoá chất lượng cao và hợp tác quốc tế vào khoản 40 triệu một năm.",admiss_school_fee
327,học phí trường có tăng theo từng năm không?,có,admiss_school_fee
328,học phí trong một học kì là bao nhiêu?,phụ thuộc vào tín chỉ môn học đăng kí,admiss_school_fee
329,học phí trung bình 1 hk ở tdt?,10 triệu,admiss_school_fee
330,học phí clc là bao nhiêu?,20 triệu,admiss_school_fee
331,quên đóng học phí có sao không?,"có, sẽ không đủ điều kiện dự thi tất cả các môn trong học kỳ đó và bị ghi điểm f.",admiss_school_fee
332,cách xử lý khi trễ hạn học phí?,làm đơn cứu xét tại phòng a005 để xin đóng học phí,admiss_school_fee
333,nếu sinh viên không đóng học phí?,bị hủy kết quả điểm trong học kỳ đó.,admiss_school_fee
334,học phí nhà trường có cao không?,"cao so với một số trường, và phù hợp với cơ sở vật chất và chất lượng đào tạo...",admiss_school_fee
335,học phí của từng ngành?,tùy vào số tín chỉ mỗi môn đăng ký.,admiss_school_fee
336,học sinh liên kết thì đóng bao nhiêu học phí?,30 triệu/ kì.,admiss_school_fee
337,mức tăng học phí mỗi năm?,tăng 20%.,admiss_school_fee
338,học lại có phải đóng học phí hay không?,có,admiss_school_fee
339,học phí trung bình của mỗi năm là bao nhiêu?,18 triệu,admiss_school_fee
340,học phí ở trường có cao hay không?,"tùy vào điều kiện mỗi người mà học phí có thể cao hoặc thấp, nhìn chung học phí của trường nằm ở mức trung bình so với các trường khác",admiss_school_fee
341,làm sao để tính học phí cho một kỳ?,học phí của một kỳ tính bằng tổng số học phí của từng môn học trong kỳ đó,admiss_school_fee
342,làm sao để tính học phí của một môn học?,"thông thường học phí của một môn học dựa trên số tín chỉ của môn đó, mỗi tính chỉ sẽ có một mức phí khác nhau. những môn không có tín chỉ sẽ được tính theo cách khác.",admiss_school_fee
343,làm sao để biết mức phí của một tín chỉ?,"phụ thuộc vào từng loại môn học, tuy nhiên mức phí sẽ không chên lệch quá 10% so với kỳ trước đó",admiss_school_fee
344,những môn không có tính chỉ sẽ tính học phí như nào?,"học phí sẽ được trường niêm yết và học phí các môn không có tính chỉ sẽ phụ thuộc vào số tiết học, quy về số chỉ tương đương",admiss_school_fee
345,học phí các môn kỹ năng?,"các môn kỹ năng không có số chỉ và số tiết lớn như các môn quốc phòng,... nhưng giá trị nó mang lại là rất lớn. nên học phí sẽ tăng theo giá trị mang lại đó",admiss_school_fee
346,đóng học phí như thế nào?,sinh viên có hai hình thức đóng học phí: chuyển khoản qua ngân hàng hoặc đóng trực tiếp tại vietcombank,admiss_school_fee
347,"nếu bỏ lỡ một đợt đóng học phí, có bị kỷ luật gì không?","sẽ có mở các đợt đóng khác, tuy nhiên sinh viên có thể bị kỷ luật tùy theo mức độ và số lần tái phạm",admiss_school_fee
348,có bao nhiêu đợt đóng học phí?,thông thường sẽ có 5 đợt đóng học phí,admiss_school_fee
349,học phí mỗi năm tăng bao nhiêu?,học phí tăng trung bình 10% so với năm trước.,admiss_school_fee
350,một tín chỉ trung bình bao nhiêu tiền?,hiện tại một tín chỉ khoảng 840k và sẽ tăng lên theo các năm,admiss_school_fee
351,trung bình một năm sinh viên phải đóng bao nhiêu tiền học phí?,"hiện tại, một năm sinh viên đóng khoảng hơn 20 triệu cho tiền học phí.",admiss_school_fee
352,thời gian tối đa mà sinh viên có thể gia hạn học phí là bao lâu?,khoảng 1 tháng tùy trường hợp,admiss_school_fee
353,nếu sinh viên không đóng học phí trong học kỳ?,sinh viên sẽ không có tên trong danh sách lớp và có khả năng bị kỷ luật tùy theo mức độ,admiss_school_fee
354,xem hướng dẫn đóng học phí ở đâu?,"cổng thông tin sinh viên, mục học phí",admiss_school_fee
355,"bảo hiểm y tế, bảo hiểm tai nạn được đóng chung đợt với học phí không?","không, sẽ có đợt riêng về bảo hiểm",admiss_school_fee
356,"khi có sai sót xảy ra trong lúc đóng học phí, sinh viên cần làm gì?",sinh viên cần liên hệ phòng tài chính để được hướng dẫn,admiss_school_fee
357,học phí kì này của cậu là bao nhiêu?,15 triệu đó bạn,admiss_school_fee
358,học phí tiêu chuẩn của mỗi ngành là bao nhiêu?,dao động từ 9 triệu - 11 triệu/ 1 học kì,admiss_school_fee
359,học phí các ngành kỹ thuật có mắc không ?,có,admiss_school_fee
360,học phí các ngành kinh tế có mắc không ?,có,admiss_school_fee
361,học phí của 1 chỉ khoa hệ đại trà là bao nhiêu?,370k,admiss_school_fee
362,học phí của 1 chỉ khoa hệ clc là bao nhiêu?,560k,admiss_school_fee
363,học phí hệ đại trà dao động?,18tr5-20tr/ học kì,admiss_school_fee
364,học phí hệ clc dao động?,38tr-42tr/ học kì,admiss_school_fee
365,học phí môn thể chất?,640k,admiss_school_fee
366,học phí môn bơi?,640k,admiss_school_fee
367,học phí có thể nộp qua ngân hàng không?,có thể,admiss_school_fee
368,học phí nộp tại trường được không?,tuỳ theo đợt nộp. đa số được nộp qua ngân hàng,admiss_school_fee
369,học phí trung bình của mỗi năm là bao nhiêu?,18 triệu,admiss_school_fee
370,học phí trung bình 1 hk là bao nhiêu?,tùy ngành và chuyên ngành số tiền khoảng 15+17tr.,admiss_school_fee
371,học phí trung bình 1 năm là bao nhiêu?,tùy ngành và chuyên ngành số tiền khoảng 20+25tr.,admiss_school_fee
372,học phí có tăng trong quá trình học không?,tùy vào từng thời điểm nhưng theo qui định tăng không quá 20%.,admiss_school_fee
373,đóng học phí bằng cách nào?,"chuyển khoản, đóng tại các ngân hàng có liên kết với trường hoặc đóng trực tiếp tại phòng tài chính.",admiss_school_fee
374,nếu quên đóng học phí phải làm sao?,theo dõi thông báo trên hệ thống để biết được thời gian đóng bổ sung.,admiss_school_fee
375,ngoài học phí có phát sinh thêm chi phí nào không?,có các khoản về bảo hiểm y tế và tài nạn theo qui định của nhà nước và một số khoản phí khác tùy giai đoạn học.,admiss_school_fee
376,học phí trường như thế nào?,"tùy theo khối ngành mà khác nhau, nhưng tóm lại thì đắt hơn mặt bằng chung",admiss_school_fee
377,học phí một học kì ngành kĩ thuật?,trung bình khoảng 15 triệu,admiss_school_fee
378,học phí chất lượng cao so với hệ đại trà nhiều hơn bao nhiêu phần trăm?,học phí chât lượng cao gần gấp đôi học phí hệ đại trà.,admiss_school_fee
379,học phí của trường đại học tôn đức thắng?,học phí trung bình là 17tr. tăng mỗi năm 20%,admiss_school_fee
380,học phí mỗi năm như thế nào?,tăng 20%,admiss_school_fee
381,trường tdt học phí 1 năm bao nhiêu tiền?,tùy vào ngành học sẽ có mức học phí khác nhau. như ngành cntt thì khoản 20 triệu 1 năm,admiss_school_fee
382,học phí của chất lượng cao với đại trà có gì khác biệt không?,không phí chất lương cao sẽ hơn đại trà 5 đến 7 triệu tùy theo ngành nghề,admiss_school_fee
383,học phí trung bình ở trường là bao nhiêu?,từ 18 triệu tới 20 triệu.,admiss_school_fee
384,học phí ở trường là bao nhiêu?,từ 18 triệu tới 20 triệu.,admiss_school_fee
385,trong quá trình học thì trường có thay đổi học phí không ạ ?,tăng không quá 20%/năm,admiss_school_fee
386,trung bình học phí ở trường là bao nhiêu?,chương trình đại trà từ 9 triệu tới 12 triệu.,admiss_school_fee
387,khi nào dh tôn đức thắng được chính phủ việt nam đã cho phép từ đại học bán công sang công lập theo cơ chế tự chủ việc thu chi học phí?,ngày 22 tháng 6 năm 2006,admiss_school_fee
388,học phí cho các ngành của khoa quản trị kinh doanh bao nhiêu ạ?,trung bình 20000000 đồng/năm,admiss_school_fee
389,học phí trung bình một năm là bao nhiêu?,hai mươi triệu.,admiss_school_fee
390,học phí trường giữ nguyên hay tăng theo từng năm?,tăng theo từng năm,admiss_school_fee
391,thời gian đóng học phí?,"thông thường, thời gian đóng học phí sẽ được mở trước khi vào học kỳ khoảng một tháng",admiss_school_fee
392,có thể đóng học phí vào khoảng thời gian nào?,"vào các đợt mở đóng học phí, thường là khoảng 1 tháng trước khi bắt đầu kỳ học.",admiss_school_fee
393,học sinh liên kết đóng bao nhiêu học phí?,30.000.000đ,admiss_school_fee
394,bạn đóng tiền học kì sau chưa?,mình đóng rồi.,admiss_school_fee
395,bao nhiêu tiền 1 tín chỉ ?,500k / 1 tín chỉ,admiss_school_fee
396,bao nhiêu tiền 1 tín chỉ  cho chương trình đại trà?,khoảng 500k 1 tín chỉ,admiss_school_fee
397,ngành nào của tdt là mắc tiền nhất?,[unknown],admiss_school_fee
398,mỗi năm sinh viên phải trả bao nhiêu cho chi phí học tập ?,15.770.000 đồng/năm,admiss_school_fee
399,chi phí xét tuyển theo phương thức 3 là bao nhiêu ?,30.000đ/thí sinh/hồ sơ,admiss_school_fee
400,chi phí xét tuyển dựa vào kết quả học tập trung học phổ thông?,30.000 đồng/hồ sơ,admiss_school_fee
401,chi phí đăng kí thi môn năng khiếu?,300000 đồng/đợt thi,admiss_school_fee
402,lệ phí xét tuyển/thi tuyển?,lệ phí xét tuyển 30.000 vnđ/hồ sơ;,admiss_school_fee
403,lệ phí thi năng khiếu?,lệ phí thi năng khiếu: 300.000 vnđ/hồ sơ/đợt thi,admiss_school_fee
404,lệ phí thi đánh giá năng lực tiếng anh?,lệ phí thi đánh giá năng lực tiếng anh: 300.000 đồng/hồ sơ,admiss_school_fee
405,lệ phí xét tuyển là bao nhiêu?,30.000đ,admiss_school_fee
406,nộp 2 nguyện vọng xét học bạ thì lệ phí là bao nhiêu?,cũng 30.000đ,admiss_school_fee
407,chi phí đăng ký xét tuyển học bạ là bao nhiêu ?,30 nghìn 1 hồ sơ,admiss_school_fee
408,chi phí đăng ký dự thi môn năng khiếu là bao nhiều ?,300 nghìn,admiss_school_fee
